x,y
283,4.888888889
281,4.259259259
279,5.517241379
277,4.48
275,4.785714286
273,3.703703704
271,5.392857143
269,4.615384615
267,4.392857143
265,4.384615385
263,4.827586207
261,4.692307692
259,4.740740741
257,4.37037037
255,3.827586207
253,5
251,4.464285714
249,3.592592593
247,3.464285714
245,4.730769231
243,3.357142857
241,3.407407407
239,4.206896552
237,3.269230769
235,3.75
233,4.214285714
231,3.103448276
229,3.846153846
227,4.448275862
225,3.5
223,3.642857143
221,3.925925926
219,3.862068966
217,3.703703704
215,3.862068966
213,2.37037037
211,3.857142857
209,3.642857143
207,3
205,3
203,3.827586207
201,2.785714286
199,2.964285714
197,3.222222222
195,3.586206897
193,2.814814815
191,3.206896552
189,2.777777778
187,3.392857143
185,3.107142857
183,3.206896552
181,3.461538462
179,3.206896552
177,2.535714286
175,3.035714286
173,3
171,2.586206897
169,3.074074074
167,2.724137931
165,2.888888889
163,2.785714286
161,2.75
159,3.068965517
157,2.961538462
155,2.75862069
153,2.892857143
151,2.857142857
149,2.518518519
147,2.275862069
145,3.035714286
143,2.931034483
141,2.296296296
139,2.75862069
137,3.206896552
135,2.827586207
133,2.703703704
131,2.9
129,2.321428571
127,2.642857143
125,2.642857143
123,1.931034483
121,2.259259259
119,2.517241379
117,2.481481481
115,2.678571429
113,2.25
111,1.551724138
109,1.88
107,2.620689655
105,2.142857143
103,1.857142857
101,1.923076923
99,1.689655172
97,2.111111111
95,2.034482759
93,1.846153846
91,2.107142857
89,1.928571429
87,1.517241379
85,1.875
83,1.655172414
81,1.857142857
79,1.678571429
77,2
75,1.689655172
73,1.703703704
71,1.448275862
69,1.72
67,1.75
65,1.607142857
63,1.620689655
61,1.913043478
59,1.379310345
57,1.5
55,1.678571429
53,1.25
51,1.517241379
49,1.592592593
47,1.137931034
45,1.333333333
43,1.714285714
41,1.321428571
39,1.275862069
37,1.136363636
35,1.275862069
33,1.071428571
31,1.392857143
29,0.956521739
27,1.137931034
25,1.222222222
23,1.034482759
21,0.956521739
19,1.214285714
17,0.821428571
15,1.034482759
13,1.095238095
11,0.724137931
9,0.793103448
7,0.551724138
5,0.590909091
3,0
1,0
-1,0
-3,0
