time_diff,avg_abs_min_temp_diff
283,3.407407407
281,2.407407407
279,3.068965517
277,2.72
275,2.857142857
273,2.222222222
271,3.142857143
269,2.615384615
267,2.857142857
265,2.884615385
263,2.482758621
261,2.615384615
259,3.296296296
257,2.296296296
255,2.137931034
253,3
251,2.678571429
249,2.037037037
247,2.464285714
245,2.192307692
243,2.392857143
241,2.666666667
239,2.103448276
237,2.076923077
235,3
233,2.464285714
231,1.931034483
229,2.576923077
227,2.517241379
225,2
223,2.392857143
221,2.222222222
219,2.172413793
217,2.481481481
215,2.103448276
213,1.777777778
211,2.714285714
209,2.035714286
207,1.896551724
205,2.5
203,2.137931034
201,1.821428571
199,2.25
197,1.962962963
195,2
193,2.111111111
191,1.931034483
189,1.592592593
187,2.25
185,1.785714286
183,1.724137931
181,2.076923077
179,1.75862069
177,1.535714286
175,1.964285714
173,1.703703704
171,1.482758621
169,1.851851852
167,1.724137931
165,1.592592593
163,1.857142857
161,1.464285714
159,1.344827586
157,1.807692308
155,1.344827586
153,1.357142857
151,1.75
149,1.296296296
147,1.379310345
145,1.821428571
143,1.482758621
141,1.296296296
139,1.689655172
137,1.517241379
135,1.344827586
133,1.666666667
131,1.5
129,1.285714286
127,1.642857143
125,1.25
123,1.310344828
121,1.481481481
119,1.310344828
117,1.148148148
115,1.5
113,1.214285714
111,1.068965517
109,1.12
107,1.206896552
105,1.035714286
103,1.142857143
101,0.846153846
99,1.103448276
97,1.148148148
95,0.896551724
93,0.769230769
91,1.178571429
89,0.928571429
87,0.75862069
85,0.958333333
83,0.931034483
81,0.928571429
79,0.928571429
77,0.92
75,0.931034483
73,1.111111111
71,0.793103448
69,0.64
67,1
65,0.75
63,0.793103448
61,0.782608696
59,0.75862069
57,0.714285714
55,0.75
53,0.583333333
51,0.655172414
49,0.777777778
47,0.655172414
45,0.458333333
43,0.714285714
41,0.607142857
39,0.517241379
37,0.5
35,0.586206897
33,0.464285714
31,0.464285714
29,0.391304348
27,0.448275862
25,0.518518519
23,0.379310345
21,0.304347826
19,0.357142857
17,0.357142857
15,0.24137931
13,0.047619048
11,0.310344828
9,0.206896552
7,0.137931034
5,0.227272727
3,0
1,0
-1,0
-3,0
