x,y
283,2.407407407
281,-1.666666667
279,-1.896551724
277,1.6
275,0.178571429
273,-0.37037037
271,2.142857143
269,-2.884615385
267,2.678571429
265,0.192307692
263,-0.172413793
261,-2.692307692
259,3.333333333
257,-1.296296296
255,-1.724137931
253,-1.2
251,0.178571429
249,0
247,0.357142857
245,-2.115384615
243,1.785714286
241,2.222222222
239,-1.551724138
237,-1.346153846
235,2.142857143
233,-1.785714286
231,-0.689655172
229,1.153846154
227,-2.586206897
225,-0.535714286
223,2.142857143
221,-1.111111111
219,-1.896551724
217,2.407407407
215,0
213,-0.555555556
211,1.607142857
209,-0.535714286
207,-0.172413793
205,2.307692308
203,-2.24137931
201,-1.428571429
199,3.035714286
197,-0.740740741
195,-0.517241379
193,3.333333333
191,-0.344827586
189,0.185185185
187,1.428571429
185,-0.357142857
183,-0.689655172
181,2.692307692
179,-1.724137931
177,0.357142857
175,3.75
173,-0.37037037
171,-0.172413793
169,2.962962963
167,0
165,-0.185185185
163,2.321428571
161,0
159,0.344827586
157,3.461538462
155,-0.517241379
153,1.25
151,3.928571429
149,-0.925925926
147,-1.379310345
145,3.392857143
143,-0.172413793
141,-0.740740741
139,3.275862069
137,-1.551724138
135,-1.206896552
133,2.407407407
131,-0.5
129,-0.892857143
127,1.25
125,-1.428571429
123,-0.689655172
121,2.407407407
119,-0.862068966
117,-0.925925926
115,1.785714286
113,-0.892857143
111,-0.689655172
109,3.2
107,-0.862068966
105,0.357142857
103,1.964285714
101,0.192307692
99,1.551724138
97,2.777777778
95,-0.172413793
93,0.576923077
91,2.321428571
89,0.178571429
87,1.034482759
85,2.083333333
83,0.172413793
81,0.892857143
79,3.035714286
77,0.2
75,0.344827586
73,2.222222222
71,-0.172413793
69,-0.4
67,2.5
65,-0.714285714
63,1.034482759
61,1.956521739
59,0.344827586
57,0.714285714
55,1.964285714
53,-0.416666667
51,0.172413793
49,2.407407407
47,0.344827586
45,-0.833333333
43,2.321428571
41,-1.607142857
39,0
37,1.136363636
35,-1.206896552
33,-0.178571429
31,1.071428571
29,-0.217391304
27,-0.517241379
25,1.296296296
23,-0.689655172
21,-0.652173913
19,0.714285714
17,-2.142857143
15,-0.172413793
13,0.238095238
11,-0.862068966
9,-1.034482759
7,0
5,0
3,0
1,0
-1,0
-3,0
